ID	Cluster
2019-14385	1574
2019-14386	268
2019-14387	270
2019-14937	252
2019-14938	1127
2019-14939	557
2019-14940	43
2019-14941	812
2019-14942	748
2019-14943	375
2019-14944	51
2019-14945	1446
2019-15525	1542
2019-15526	864
2019-15527	486
2019-15528	237
2019-15529	812
2019-15530	257
2019-15531	257
2019-15532	257
2019-15533	1509
2019-15534	1513
2019-15535	1569
2019-15536	1559
2019-15537	1512
2019-15538	1557
2019-15539	1393
2019-15540	1514
2019-15541	1478
2019-15542	1554
2019-15543	1288
2019-15544	1285
2019-15545	1287
2019-15546	1298
2019-15547	1299
2019-15548	999
2019-15549	766
2019-15550	282
2019-15551	471
2019-15552	1201
2019-15553	70
2019-15554	976
2019-15555	1497
2019-15556	591
2019-15557	1410
2019-15558	1368
2019-15559	1216
2019-15560	116
2019-15561	602
2019-15562	420
2019-15563	183
2019-15564	1191
2019-15565	252
2019-15566	1085
2019-15568	690
2019-15569	1158
2019-15570	303
2019-16009	1014
2019-16010	1290
2019-16011	1206
2019-16012	1207
2019-16013	994
2019-16014	1020
2019-16015	1213
2019-16016	1211
2019-16017	1208
2019-16018	1020
2019-16019	1353
2019-16020	1354
2019-16021	992
2019-16022	1257
2019-16023	1420
2019-16024	1255
2019-16025	1575
2019-16026	1256
2019-16027	1164
2019-16028	1164
2019-16029	1166
2019-16030	556
2019-16031	1326
2019-16414	1459
2019-16415	544
2019-16416	1454
2019-16417	209
2019-16418	925
2019-16419	296
2019-16710	1326
2019-16711	445
2019-16712	450
2019-16713	1556
2019-16714	442
2019-16715	443
2019-16716	436
2019-16717	433
2019-16718	438
2019-16719	453
2019-16720	436
2019-16721	1195
2019-16722	434
2019-16723	439
2019-16724	1190
2019-16726	1191
2019-16727	460
2019-16728	461
2019-16729	576
2019-16730	1189
2019-16731	459
2019-16732	1191
2019-16733	1191
2019-16734	456
2019-16735	1191
2019-16736	547
2019-16737	547
2019-16738	1191
2019-16739	459
2019-16740	1193
2019-16741	457
2019-16742	539
2019-16743	1189
2019-16744	603
2019-16745	489
2019-16746	1190
