ISOLATE,collection_date,ST,cgT
2016-09566,2016-04-22,,-
2016-09658,2016-04-23,,-
2016-09771,2016-04-24,,-
2016-09947,2016-04-27,,-
2016-10053,2016-04-19,11,2221
2016-09983,2016-04-27,,-
2016-09980,2016-04-26,,-
2016-10274,2016-04-28,,-
2016-10428,2016-05-03,,-
2016-10513,2016-05-02,,-
2016-10525,2016-05-04,,-
2016-10528,2016-05-06,,-
2016-10538,2016-05-05,,-
2016-10634,2016-05-06,,-
2016-10919,2016-05-09,,-
2016-10912,2016-05-09,,-
2016-10896,2016-05-09,,-
2016-11070,2016-05-12,,-
2016-11071,2016-05-11,,-
2016-11094,2016-05-14,,-
2016-11174,2016-05-14,,-
2016-11269,2016-05-13,,-
2016-11686,2016-05-19,,-
2016-11725,2016-05-21,,-
2016-11914,2016-05-24,,-
2016-11934,2016-05-24,,-
2016-11974,2016-05-23,,-
2016-12347,2016-05-30,,-
2016-12378,2016-05-30,,-
2016-12398,2016-05-30,,-
2016-13020,2016-06-07,,-
2016-12980,2016-06-05,,-
2016-13079,2016-06-05,,-
2016-13156,2016-06-07,,-
2016-13224,2016-06-11,,-
2016-13654,2016-06-17,,-
2016-13881,2016-06-19,,-
2016-13979,2016-06-23,,-
2016-14041,2016-06-27,,-
2016-14101,2016-06-24,,-
2016-14157,2016-06-22,,-
2016-14215,2016-06-28,,-
2016-14365,2016-06-28,,-
2016-14469,2016-06-30,,-
2016-14512,2016-07-02,,-
2016-14587,2016-07-02,,-
2016-14674,2016-07-04,,-
2016-14673,2016-07-04,,-
2016-14792,2016-07-06,,-
2016-14812,,,-
2016-14810,2016-07-06,,-
2016-15009,2016-07-06,,-
2016-14960,2016-07-06,,-
2016-14925,2016-07-06,,-
2016-15086,2016-07-07,,-
2016-15271,2016-07-13,,-
2016-15264,2016-07-10,,-
2016-15239,2016-07-11,,-
2016-15380,2016-07-13,,-
2016-15329,2016-07-11,,-
2016-15327,2016-07-13,,-
2016-15603,2016-07-17,,-
2016-15604,2016-07-17,,-
2016-15671,2016-07-18,,-
2016-15640,2016-07-15,,-
2016-15906,2016-07-21,,-
2016-15875,2016-07-20,,-
2016-15974,2016-07-22,,-
2016-15955,2016-07-21,,-
2016-16044,2016-07-22,,-
2016-16047,2016-07-22,,-
